match_id,date,venue,city,teams,team1,team2,toss_winner,toss_decision,winner,result,season,match_type,gender,total_balls
1082591,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"Sunrisers Hyderabad, Royal Challengers Bangalore",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,,2017,T20,male,40
1082592,2017-04-06,Maharashtra Cricket Association Stadium,Pune,"Rising Pune Supergiant, Mumbai Indians",Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Rising Pune Supergiant,,2017,T20,male,40
1082593,2017-04-07,Saurashtra Cricket Association Stadium,Rajkot,"Gujarat Lions, Kolkata Knight Riders",Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,2017,T20,male,35
1082594,2017-04-08,Holkar Cricket Stadium,Indore,"Kings XI Punjab, Rising Pune Supergiant",Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Kings XI Punjab,,2017,T20,male,39
1082595,2017-04-08,M.Chinnaswamy Stadium,Bengaluru,"Royal Challengers Bangalore, Delhi Daredevils",Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,,2017,T20,male,40
1082596,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"Sunrisers Hyderabad, Gujarat Lions",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,2017,T20,male,36
1082597,2017-04-09,Wankhede Stadium,Mumbai,"Mumbai Indians, Kolkata Knight Riders",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,,2017,T20,male,40
1082598,2017-04-10,Holkar Cricket Stadium,Indore,"Kings XI Punjab, Royal Challengers Bangalore",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,,2017,T20,male,35
1082599,2017-04-11,Maharashtra Cricket Association Stadium,Pune,"Rising Pune Supergiant, Delhi Daredevils",Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,field,Delhi Daredevils,,2017,T20,male,37
1082600,2017-04-12,Wankhede Stadium,Mumbai,"Mumbai Indians, Sunrisers Hyderabad",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,,2017,T20,male,39
